Source.Name,Area,rooms,type,City_District,Date
new building.csv,48,5,new,"Tashkent, Yunusabad district",6/25/2023
new building.csv,30,5,new,"Tashkent, Yashnabad district",6/25/2023
new building.csv,30,5,new,"Tashkent, Yunusabad district",6/25/2023
new building.csv,42,5,new,"Tashkent, Yashnabad district",6/25/2023
new building.csv,48,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,30,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,35,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,38,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,16,5,new,"Tashkent, Yashnabad district",6/25/2023
new building.csv,40,5,new,"Tashkent, Mirzo-Ulugbek district",6/25/2023
new building.csv,36,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,45,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,22,5,new,"Tashkent, Mirabad district",6/25/2023
new building.csv,29,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,30,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,28,5,new,"Tashkent, Mirabad district",6/25/2023
new building.csv,34,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,18,5,new,"Tashkent, Sergeli district",6/25/2023
new building.csv,33,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,33,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,34,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,45,5,new,"Tashkent, Mirzo-Ulugbek district",6/25/2023
new building.csv,28,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,35,5,new,"Tashkent, Chilanzar district",6/25/2023
new building.csv,28,5,new,"Tashkent, Mirabad district",6/25/2023
new building.csv,30,5,new,"Tashkent, Yakkasarai district",6/25/2023
new building.csv,31,5,new,"Tashkent, Yakkasarai district",6/25/2023
new building.csv,87,1,secondary,"Tashkent, Yashnabad district",6/27/2021
new building.csv,65,1,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2021
new building.csv,82,1,secondary,"Tashkent, Shaikhantahur district",6/26/2021
new building.csv,75,1,secondary,"Tashkent, Mirabad district",6/26/2021
new building.csv,87,1,secondary,"Tashkent, Mirzo-Ulugbek district",6/26/2021
new building.csv,84,1,secondary,"Tashkent, Yakkasarai district",6/26/2021
new building.csv,64,1,secondary,"Tashkent, Chilanzar district",6/27/2021
new building.csv,63,1,secondary,"Tashkent, Chilanzar district",6/25/2021
new building.csv,69,1,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2021
new building.csv,60,1,secondary,"Tashkent, Yunusabad district",6/27/2021
new building.csv,70,1,secondary,"Tashkent, Almazar district",6/25/2021
new building.csv,65,1,secondary,"Tashkent, Chilanzar district",6/26/2021
new building.csv,86,1,secondary,"Tashkent, Yakkasarai district",6/26/2021
new building.csv,69,1,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2021
new building.csv,90,1,secondary,"Tashkent, Almazar district",6/27/2021
new building.csv,78,1,secondary,"Tashkent, Almazar district",6/27/2021
new building.csv,70,1,secondary,"Tashkent, Almazar district",6/27/2021
new building.csv,80,1,secondary,"Tashkent, Mirzo-Ulugbek district",6/25/2021
new building.csv,104,1,secondary,"Tashkent, Chilanzar district",6/25/2021
new building.csv,61,1,secondary,"Tashkent, Yashnabad district",6/26/2021
new building.csv,78,1,secondary,"Tashkent, Yakkasarai district",6/25/2021
new building.csv,72,1,secondary,"Tashkent, Yunusabad district",6/27/2021
new building.csv,90,1,secondary,"Tashkent, Shaikhantahur district",6/27/2021
new building.csv,83,1,secondary,"Tashkent, Sergeli district",6/26/2021
new building.csv,70,1,secondary,"Tashkent, Almazar district",6/27/2021
new building.csv,70,1,secondary,"Tashkent, Almazar district",6/27/2021
new building.csv,70,1,secondary,"Tashkent, Almazar district",6/26/2021
new building.csv,,1,type,City_District,
new building.csv,92,1,secondary,"Tashkent, Sergeli district",6/17/2021
new building.csv,102.97,1,secondary,"Tashkent, Yunusabad district",6/25/2021
new building.csv,80,1,secondary,"Tashkent, Yunusabad district",6/27/2021
new building.csv,100,1,secondary,"Tashkent, Almazar district",6/27/2021
new building.csv,69.5,1,secondary,"Tashkent, Uchtepinsky district",6/27/2021
new building.csv,87.58,1,secondary,"Tashkent, Shaikhantahur district",6/27/2021
new building.csv,92,1,secondary,"Tashkent, Chilanzar district",6/26/2021
new building.csv,98,1,secondary,"Tashkent, Sergeli district",6/27/2021
new building.csv,78,1,secondary,"Tashkent, Chilanzar district",6/27/2021
new building.csv,78,1,secondary,"Tashkent, Chilanzar district",6/26/2023
new building.csv,110,1,secondary,"Tashkent, Mirzo-Ulugbek district",6/25/2023
new building.csv,100,1,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,92,1,secondary,"Tashkent, Sergeli district",6/26/2023
new building.csv,85,1,secondary,"Tashkent, Yunusabad district",6/27/2021
new building.csv,90,1,secondary,"Tashkent, Chilanzar district",6/27/2021
new building.csv,91,1,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2021
new building.csv,95,1,secondary,"Tashkent, Yunusabad district",6/27/2021
new building.csv,175,1,secondary,"Tashkent, Chilanzar district",6/27/2021
new building.csv,120,1,secondary,"Tashkent, Mirabad district",6/27/2021
new building.csv,93,1,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2021
new building.csv,65,1,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2021
new building.csv,100,1,secondary,"Tashkent, Sergeli district",6/27/2021
new building.csv,95,1,secondary,"Tashkent, Yunusabad district",6/27/2021
new building.csv,84,1,secondary,"Tashkent, Chilanzar district",6/27/2021
new building.csv,90,1,secondary,"Tashkent, Yunusabad district",6/27/2021
new building.csv,107,1,secondary,"Tashkent, Almazar district",6/27/2021
new building.csv,99,1,secondary,"Tashkent, Sergeli district",6/27/2021
new building.csv,165,1,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,140,1,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,130,1,secondary,"Tashkent, Yakkasarai district",6/27/2023
new building.csv,90,1,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,130,1,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,85,1,secondary,"Tashkent, Uchtepinsky district",6/27/2023
new building.csv,82,2,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,95,2,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,170,2,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,90,2,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,76,2,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,80,2,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,97,2,secondary,"Tashkent, Sergeli district",6/27/2023
new building.csv,115,2,secondary,"Tashkent, Yakkasarai district",6/27/2023
new building.csv,90,2,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,170,2,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,100,2,secondary,"Tashkent, Bektemir district",6/27/2023
new building.csv,90,2,secondary,"Tashkent, Yashnabad district",6/27/2023
new building.csv,80,2,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,76,2,secondary,"Tashkent, Shaikhantahur district",6/27/2023
new building.csv,82,2,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,92,2,secondary,"Tashkent, Yashnabad district",6/27/2023
new building.csv,81,2,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,94,2,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,81,2,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,135,2,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,160,2,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,85,2,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,82,2,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,125,2,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,90,2,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,170,2,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,78,2,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,100,2,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,74,2,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,100,2,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,80,2,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,120,2,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,67,2,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,97,2,secondary,"Tashkent, Yakkasarai district",6/27/2023
new building.csv,90,3,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,80,3,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,204,3,secondary,"Tashkent, Almazar district",6/27/2023
new building.csv,89,3,secondary,"Tashkent, Chilanzar district",6/27/2023
new building.csv,100,3,secondary,"Tashkent, Mirabad district",6/27/2023
new building.csv,111,3,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,85,3,secondary,"Tashkent, Yunusabad district",6/27/2023
new building.csv,86,3,secondary,"Tashkent, Mirzo-Ulugbek district",6/27/2023
new building.csv,83,3,secondary,"Tashkent, Yunusabad district",6/27/2023
