Size,Latitude,Longitude,price
47,41.2948119,69.2087824,32000
36,41.259418,69.1804708,26500
50,41.2829494,69.1968618,34500
52,41.2857552,69.2117625,36500
46,41.2535107,69.3437258,24500
92,41.2894422,69.2058023,42500
70,41.259418,69.1804708,46000
70,41.3692799,69.2981832,38500
60,41.31512,69.3234929,36000
55,41.319567,69.3246635,35000
63,41.31512,69.3234929,55500
89,41.2818558,69.2552666,81772
55,41.2818558,69.2552666,50533
100,41.3292204,69.3473509,119000
208,41.3475495,69.3875774,93000
35,41.2770171,69.1909015,23800
44,41.2948119,69.2087824,32900
61,41.210633,69.2281531,36000
100,41.286283,69.3235123,65000
35,41.2894422,69.2058023,29800
86,41.3351692,69.3602729,63000
100,41.314662,69.293391,80000
110,41.3432641,69.2560774,63500
75,41.3086111,69.2691667,110000
70,41.3333453,69.2475235,62000
70,41.3141622,69.2368973,36999
150,41.2843902,69.2585422,170000
56.1,41.2304214,69.2117625,37000
83,41.3825869,69.3019081,54000
49,41.2978921,69.1804708,23000
46,41.2894422,69.2058023,38500
46,41.2894422,69.2058023,36200
68,41.259418,69.1804708,45000
65,41.2901628,69.1968618,45000
76,41.2901628,69.1968618,43000
42,41.2901628,69.1968618,26000
55,41.2901628,69.1968618,67000
76,41.2901628,69.1968618,45500
49,41.2829494,69.1968618,47000
80,41.2829494,69.1968618,70000
142,41.2829494,69.1968618,120000
60,41.2948119,69.2087824,44000
72,41.322142,69.303611,47000
115,41.2846588,69.2743143,84000
100,41.3701094,69.2660649,77000
63,41.3375577,69.3726789,35000
66,41.3317732,69.324458,56000
70,41.322142,69.303611,46500
62,41.3215876,69.3230626,35000
50,41.271386,69.1961168,34000
78,41.3298867,69.2803036,56000
62,41.295316,69.275364,63000
350,41.2910722,69.2769129,260000
63,41.2896055,69.3434849,40000
91,41.3326551,69.3689542,75000
81,41.3141622,69.2368973,54900
86,41.3550649,69.3585936,42000
54,41.322142,69.303611,54500
90,41.2846588,69.2743143,105000
40,41.314662,69.293391,37000
45,41.3804352,69.2840285,24000
89.55,41.2901478,69.2827199,40000
92,41.3375577,69.3726789,67000
95,41.3550649,69.3585936,77000
102,41.3292204,69.3473509,65000
65,41.3597078,69.2094809,31300
62,41.314662,69.293391,33500
56,41.3668928,69.2087824,38500
59,41.3169199,69.3279791,41500
96,41.2710841,69.1849411,64500
37,41.2785565,69.3415733,13075
70,41.2773019,69.2473656,48000
78,41.296644,69.275878,77000
145,41.2986859,69.2595082,115000
100,41.3104865,69.2922234,128000
54,41.286283,69.3235123,33000
70,41.296644,69.275878,66000
116,41.2673079,69.2415634,80000
72,41.2657122,69.1819609,37700
70,41.3221852,69.2616787,60000
60,41.3542045,69.3845977,28500
52,41.2857552,69.2117625,38000
95,41.2911414,69.2601933,65000
44,41.2857552,69.2117625,38000
42,41.2857552,69.2117625,36500
43,41.2857552,69.2117625,36500
77,41.2857552,69.2117625,95000
24,41.2948119,69.2087824,20000
30,41.2948119,69.2087824,26000
41,41.2948119,69.2087824,36000
46,41.3197131,69.2773236,36000
42,41.2948119,69.2087824,36500
51,41.3700057,69.2892434,45000
62,41.2814223,69.1760005,33500
50,41.2896055,69.3434849,25000
107,41.3587493,69.2996732,75500
255,41.3245206,69.2773236,270000
266,41.3245206,69.2773236,285000
38,41.3597078,69.2094809,27500
210,41.2834892,69.2665263,265000
110,41.2697288,69.2512486,75000
55.62,41.3668928,69.2087824,31000
66,41.2115569,69.2266631,31507
53,41.2911414,69.2601933,54000
119,41.3390184,69.2261213,110000
56,41.339688,69.340163,35000
68,41.3869298,69.4635568,24000
125,41.2758912,69.2937133,129999
140,41.2784172,69.2711001,105000
141,41.3379184,69.3898602,95000
74,41.2770171,69.1909015,47500
63,41.3375577,69.3726789,34997
84,41.2770171,69.1909015,101000
87,41.3112812,69.2429048,59000
68,41.259418,69.1804708,60000
110,41.3112812,69.2429048,63500
60,41.3427418,69.3875774,70000
90,41.259418,69.1804708,90500
85,41.3292204,69.3473509,78900
89,41.2901628,69.1968618,101000
94,41.2894422,69.2058023,73000
88,41.2948119,69.2087824,91400
92,41.3318205,69.3644846,62000
70,41.2916859,69.2177228,55000
84.5,41.2807837,69.223683,91505
78,41.2807837,69.223683,83670
75,41.2753331,69.2052868,60000
